,Age,Gender,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Location_Europe,Location_Other,Location_USA,Genre_RPG,Genre_Simulation,Genre_Sports,Genre_Strategy
82,21,0,7.743327855210592,0,1,5,77,40,38,2,False,False,True,False,False,True,False
83,23,0,3.7993760618991423,1,1,12,41,73,10,2,False,False,True,False,False,True,False
84,22,0,10.391518408495156,0,1,19,102,14,24,3,False,False,True,True,False,False,False
85,26,0,15.07465364685181,0,2,4,117,4,49,2,False,False,True,False,False,True,False
86,48,1,8.45765169975634,1,1,3,122,89,24,2,False,False,False,False,False,False,False
87,47,0,14.432201516019694,0,3,18,14,78,4,1,True,False,False,False,True,False,False
88,37,0,19.501707922419776,0,2,11,147,40,49,3,False,False,True,False,False,False,True
89,38,0,6.496475465416331,1,2,8,107,11,7,2,True,False,False,True,False,False,False
90,49,0,2.1494952130714235,0,2,14,36,59,35,2,False,False,True,False,False,True,False
91,36,0,4.31332838120464,0,1,1,73,76,15,1,False,False,True,False,False,True,False
92,41,1,5.694275828168046,1,1,7,12,77,28,1,True,False,False,False,False,True,False
93,49,0,3.1093326260751075,0,1,0,99,80,42,1,False,False,False,False,True,False,False
94,15,0,9.744040836920972,1,3,4,32,33,42,1,False,False,False,False,False,False,True
95,49,0,7.838044518431901,0,1,19,126,3,14,3,True,False,False,False,False,True,False
96,28,0,9.208410715098555,1,2,1,84,61,39,1,False,False,True,False,False,False,True
97,17,0,8.644038308703859,0,1,3,117,1,11,2,True,False,False,False,False,False,True
98,15,1,5.970601392200956,0,1,11,55,54,37,2,True,False,False,False,True,False,False
99,19,1,15.377172223047586,0,3,14,93,65,42,3,False,False,True,False,False,True,False
100,40,0,5.80504022403155,0,2,5,40,89,29,2,True,False,False,False,False,True,False
101,28,1,22.350824629219,0,3,11,109,53,18,2,True,False,False,False,False,False,True
102,41,0,7.648375781283178,0,1,2,33,54,33,1,True,False,False,False,False,True,False
103,23,1,22.876692544657125,0,2,8,91,38,14,2,True,False,False,False,True,False,False
104,29,1,4.557998876469405,0,1,16,36,22,36,2,False,True,False,False,False,True,False
105,29,0,2.0673841286865047,1,1,15,101,73,45,3,True,False,False,False,False,True,False
106,40,0,7.383373195576563,0,1,15,24,56,17,2,False,False,False,False,False,True,False
107,27,0,7.733396192629242,0,3,17,72,45,48,2,False,True,False,False,True,False,False
108,46,0,19.40450332244644,1,2,9,127,75,32,2,False,False,False,False,False,False,True
109,46,0,18.55396821448505,0,1,12,96,2,21,2,False,True,False,False,False,False,True
110,18,1,4.456026910768445,0,1,16,121,10,35,3,False,False,False,False,False,True,False
111,44,0,22.14322250875968,0,3,7,60,5,30,2,False,False,True,False,True,False,False
112,37,0,8.499982200955518,0,2,18,145,88,15,3,False,False,True,False,False,True,False
113,29,1,23.694606600294044,0,2,3,51,72,44,1,False,False,True,False,True,False,False
114,43,1,23.165252611397225,0,1,14,96,42,47,3,False,False,True,False,True,False,False
115,27,0,6.549913698732847,0,3,18,111,34,9,3,False,False,True,False,False,False,True
116,46,1,10.825598338043754,0,2,12,142,24,18,3,False,False,False,False,False,False,False
117,21,1,20.277652343428393,1,1,17,142,12,20,3,False,False,True,False,False,False,False
118,36,0,7.245611011215005,0,1,3,69,52,14,1,False,False,False,True,False,False,False
119,42,0,10.776915901085236,0,2,7,154,23,19,2,False,True,False,True,False,False,False
120,16,1,4.622791147216765,1,1,17,149,48,14,3,False,False,True,False,False,False,False
121,20,1,11.929378551497177,0,2,11,75,69,25,2,False,False,True,False,False,False,True
122,42,0,6.566794339859006,0,3,15,17,19,43,1,False,False,False,True,False,False,False
123,42,0,2.7313181997200733,0,2,17,62,77,35,2,False,False,True,False,False,False,False
124,34,1,16.591687482718527,0,2,13,124,35,43,3,False,False,True,False,False,False,True
125,44,1,8.583797272700018,0,2,11,34,8,11,2,False,False,True,True,False,False,False
126,25,1,12.763140085923611,0,2,7,108,76,1,2,False,False,True,True,False,False,False
127,42,1,13.297752190463775,0,1,19,157,85,7,3,False,False,False,False,False,False,False
128,39,1,14.173755660725837,0,1,15,108,49,32,3,True,False,False,True,False,False,False
129,47,1,18.49464367093109,0,1,2,65,92,45,2,False,False,True,False,False,False,True
130,15,1,17.223879815467022,1,3,5,94,76,14,2,True,False,False,False,False,False,False
131,41,1,18.224655455153925,0,2,1,70,5,43,1,False,False,True,False,False,False,True
132,27,0,19.48783440802375,0,2,16,154,13,27,3,False,False,True,True,False,False,False
133,17,1,9.483212067452136,0,2,7,78,54,36,2,True,False,False,False,False,False,True
134,20,0,19.047461153319887,0,1,18,14,49,5,1,True,False,False,False,False,True,False
135,22,0,8.612156614530551,1,3,13,21,58,19,1,False,False,True,False,True,False,False
136,41,0,9.987578341053728,0,1,1,124,15,24,1,False,False,False,True,False,False,False
137,23,0,21.656382595501174,0,1,7,45,45,42,2,False,False,False,False,False,True,False
138,47,0,16.209307153657114,0,2,6,62,96,40,2,False,True,False,False,True,False,False
139,38,1,5.990720486362284,1,2,7,43,72,16,2,True,False,False,False,False,False,False
140,29,1,15.973762574875895,0,1,1,69,81,14,1,False,False,True,False,True,False,False
141,46,1,3.683183597785032,0,1,19,42,64,31,2,False,False,False,False,False,False,False
142,46,1,6.252455837162762,1,3,8,103,54,36,2,False,False,True,False,False,True,False
143,38,0,1.3485441645161362,1,3,3,124,82,4,2,False,False,True,False,True,False,False
144,26,0,16.331728199932105,1,3,16,52,87,2,2,False,False,False,True,False,False,False
145,16,0,22.755435580784155,1,1,12,132,4,4,3,False,True,False,False,False,True,False
146,17,0,22.397026414328703,0,1,17,105,60,37,3,False,False,True,False,True,False,False
147,31,1,19.390309545820596,0,1,11,27,23,13,1,False,False,True,False,False,False,True
148,16,0,3.84468318202322,0,3,3,159,8,44,1,True,False,False,False,False,False,True
149,16,0,20.256331595040905,0,1,9,19,95,31,2,False,True,False,False,False,False,False
150,42,0,0.0696432580417916,0,3,18,117,40,0,3,True,False,False,False,False,True,False
151,37,0,21.99256342919033,0,1,9,138,13,19,2,False,False,False,False,False,False,True
152,46,0,16.89538519745816,0,3,0,140,95,46,1,False,True,False,False,True,False,False
153,47,1,4.200586153886301,1,3,19,70,49,44,3,True,False,False,True,False,False,False
154,15,0,13.54125180437538,0,1,8,39,45,45,2,False,False,False,False,False,False,False
155,33,0,15.047202136340912,0,1,11,92,39,43,2,True,False,False,False,True,False,False
156,16,0,6.43544723306335,0,1,9,50,82,18,2,True,False,False,False,False,False,False
157,40,1,20.427872446354915,0,2,3,138,36,30,2,True,False,False,False,False,False,True
158,46,0,12.306317179031524,1,2,11,179,91,4,3,True,False,False,False,False,True,False
159,20,0,13.545984293255724,1,3,12,135,66,49,3,True,False,False,True,False,False,False
160,46,0,21.26668304303152,0,1,18,164,26,41,3,True,False,False,False,False,False,True
161,18,1,15.711803560774973,0,1,11,90,2,5,2,True,False,False,False,False,True,False
162,25,1,14.159710470426695,0,1,8,110,33,28,2,False,False,True,True,False,False,False
163,31,0,3.02265403529026,0,3,12,103,80,13,3,True,False,False,False,False,True,False
164,38,1,13.000048094097826,0,2,0,146,4,13,1,False,False,True,False,False,False,True
165,19,0,21.93431700858416,1,2,10,30,55,9,1,False,False,True,True,False,False,False
166,48,0,14.55648155952392,0,2,15,133,32,25,3,False,False,False,False,True,False,False
167,20,0,6.831045096377894,0,3,4,166,81,31,2,False,False,True,False,False,False,True
168,36,0,19.89311377371636,0,1,11,142,61,48,3,True,False,False,False,False,False,False
169,25,1,10.42417873030862,0,2,13,102,7,40,2,False,False,False,True,False,False,False
170,30,1,1.899978614861616,0,1,5,144,79,13,2,True,False,False,False,False,True,False
171,47,0,11.597118678148016,0,2,15,67,83,27,2,False,False,True,False,False,False,True
172,23,0,18.27652465418603,1,2,9,105,56,39,2,False,False,True,False,False,True,False
173,20,0,22.044392327303783,0,2,4,98,67,26,2,False,False,True,False,True,False,False
174,30,0,15.948489997170093,0,2,14,89,67,14,2,False,False,True,False,False,True,False
175,43,1,20.12914668256816,0,2,3,80,5,41,1,False,False,True,False,False,False,True
176,17,1,17.9931805634337,1,1,6,24,49,1,1,True,False,False,True,False,False,False
177,34,1,4.372198464901213,1,1,16,31,20,20,2,False,False,True,False,False,False,True
178,33,0,23.620041289280746,0,3,19,105,3,37,3,False,True,False,False,False,False,False
179,40,1,1.354730944210508,0,1,16,47,61,7,2,True,False,False,False,False,False,False
180,17,0,6.574572253509393,0,1,18,20,23,19,2,True,False,False,False,False,True,False
181,33,1,18.321743627753673,0,1,6,149,16,17,2,True,False,False,False,False,True,False
182,34,0,3.216007888051876,0,1,13,50,10,2,2,True,False,False,False,False,False,True
183,46,0,13.631729677404424,0,1,14,10,64,39,1,True,False,False,False,False,True,False
184,21,0,15.13612279233146,0,1,9,116,62,3,2,False,False,False,False,False,True,False
185,47,0,16.499476486422957,0,1,15,152,36,5,3,False,False,False,False,False,True,False
186,32,1,3.85561961786126,0,2,14,128,79,24,3,True,False,False,True,False,False,False
187,15,1,4.978798830139363,1,3,16,65,74,23,2,False,True,False,False,False,False,False
188,25,1,2.974934186662944,0,1,1,71,49,48,1,True,False,False,True,False,False,False
189,42,0,4.110147347154558,0,1,12,90,67,35,2,False,False,True,False,False,False,True
190,39,0,19.99260066954823,0,2,16,151,64,36,3,False,False,True,False,True,False,False
191,37,1,2.729469336219645,0,1,4,121,14,11,2,False,False,True,False,False,False,False
192,45,1,9.63459187601608,1,1,5,48,84,15,1,False,True,False,False,False,False,True
193,44,0,0.3702480485716846,1,1,19,55,29,30,2,False,False,True,False,False,True,False
194,49,1,18.325518833316803,0,3,9,45,68,49,2,False,False,True,False,True,False,False
195,21,1,22.97264608486355,0,2,10,111,52,23,2,False,False,False,False,True,False,False
196,30,1,7.184139994380142,1,1,2,12,62,40,1,False,False,True,False,True,False,False
197,40,0,7.317818788521064,1,3,6,36,39,24,1,False,False,True,True,False,False,False
198,16,1,13.774599336278328,1,1,14,102,54,44,3,False,False,False,False,False,False,True
199,15,0,3.1469932675982877,0,2,3,57,50,14,1,True,False,False,True,False,False,False
200,26,1,14.448485059584431,0,3,5,175,75,7,2,True,False,False,True,False,False,False
201,19,0,13.206464671501784,0,1,13,14,71,48,3,False,False,True,False,False,False,False
202,46,1,9.581422959226586,0,1,16,84,26,29,2,True,False,False,True,False,False,False
203,23,1,16.82033324174349,0,2,5,88,55,39,2,False,False,False,False,False,True,False
204,49,0,13.04654124266425,0,1,14,159,45,28,3,False,False,False,False,True,False,False
205,33,1,20.25525908465932,0,1,12,125,54,26,3,True,False,False,False,False,False,True
206,30,0,17.44815007107466,0,1,1,74,26,15,1,False,False,True,True,False,False,False
207,17,0,13.928841782702174,0,1,10,103,94,8,2,False,False,False,False,False,False,True
208,34,0,7.61448463495335,0,1,3,33,10,35,1,True,False,False,False,False,False,False
209,38,0,0.6899550435470942,1,2,7,60,44,1,2,False,False,False,False,True,False,False
210,47,1,8.911863426695152,0,1,8,20,68,12,1,False,False,True,False,False,False,False
211,38,0,18.55274687578926,0,2,2,93,30,20,1,True,False,False,True,False,False,False
212,25,1,21.391703085862,0,1,15,166,12,42,3,False,True,False,False,False,False,True
213,22,0,20.423897033001715,0,1,8,91,87,34,2,False,False,True,False,False,False,False
214,34,1,8.868238178525782,1,2,1,168,47,23,1,False,True,False,False,True,False,False
215,49,0,0.7170876441501903,0,1,19,32,72,26,2,False,False,True,True,False,False,False
216,39,0,22.499660632378887,1,1,18,109,92,28,3,True,False,False,True,False,False,False
217,49,1,16.407666343253425,0,1,14,118,85,21,3,False,False,False,False,True,False,False
218,39,0,11.509506149071033,0,1,9,76,25,4,2,False,False,True,False,False,False,False
219,43,1,18.68207056827901,0,1,4,169,78,5,2,False,False,False,False,False,False,True
220,32,0,2.146500572209561,0,1,6,172,33,43,2,False,False,True,False,True,False,False
221,32,0,2.0875797562794753,0,2,18,179,42,3,3,True,False,False,False,False,False,False
222,16,1,16.97257122809584,0,2,10,138,90,8,2,False,False,False,False,False,True,False
223,49,1,1.623253181653097,0,1,17,27,33,38,2,False,False,True,False,False,False,False
224,30,0,1.1785839800921911,0,2,4,170,45,20,2,False,False,True,False,False,False,False
225,47,1,17.286697607074213,0,1,14,150,50,30,3,False,True,False,False,False,True,False
226,18,0,17.79411288336275,0,1,3,118,61,45,2,False,False,False,False,True,False,False
227,47,0,9.90698720356799,0,2,1,82,14,48,1,False,False,False,False,True,False,False
228,28,0,9.398654752872655,0,1,2,121,82,19,1,True,False,False,False,False,False,False
229,35,1,10.608533609506894,0,1,19,164,61,47,3,False,False,False,False,False,True,False
230,34,0,8.856054521931455,0,1,15,70,26,29,2,False,True,False,False,False,False,True
231,22,0,10.707680703625662,0,1,1,140,81,30,1,True,False,False,False,False,False,False
232,21,1,4.453186248993083,0,2,0,146,58,37,1,False,False,False,False,False,False,True
233,17,0,14.015747922351792,1,1,11,23,4,7,1,False,False,True,True,False,False,False
234,31,0,12.409088586391764,1,1,11,87,88,34,2,True,False,False,False,True,False,False
235,47,0,15.972033037206106,0,1,4,76,69,43,2,False,False,True,False,False,False,False
236,26,0,4.381658634610372,0,1,3,68,5,2,1,True,False,False,False,False,False,False
237,36,0,2.1331622085625748,1,3,2,71,91,13,1,False,False,True,False,False,True,False
238,36,0,19.34566527732695,0,1,13,160,3,0,3,False,False,True,False,False,True,False
239,44,0,21.698472616540514,0,3,15,101,24,7,2,False,False,True,True,False,False,False
240,22,0,4.129688542183922,0,3,1,122,90,42,2,True,False,False,False,False,True,False
241,41,1,9.98472880220081,1,1,12,61,88,42,2,True,False,False,False,False,False,True
242,41,1,17.404774401438523,0,3,1,26,42,24,1,False,False,True,False,False,True,False
243,48,1,12.586931645419732,0,1,18,79,52,1,2,False,True,False,False,False,True,False
244,35,0,13.605657669675177,0,1,10,65,96,15,2,False,False,True,False,False,False,False
245,44,0,8.210817815441171,0,2,10,63,54,20,2,False,False,False,False,False,True,False
246,47,1,2.8794355360014148,0,2,10,36,6,27,2,False,False,True,False,False,False,False
247,42,1,23.05222849282748,1,1,11,144,49,41,3,False,False,True,False,False,False,True
248,47,0,17.84181542715376,0,3,3,88,56,41,2,False,False,True,True,False,False,False
249,19,0,7.702088004425916,1,2,2,159,17,32,2,False,True,False,True,False,False,False
250,33,1,17.154279799063623,0,1,3,57,62,9,1,False,False,False,False,False,False,False
251,18,0,9.378216853442584,0,2,1,95,40,32,1,False,False,True,True,False,False,False
252,49,0,4.680904119898592,0,2,0,75,7,36,2,False,False,True,False,False,True,False
253,31,0,16.269288222360863,0,1,17,52,94,9,2,True,False,False,False,True,False,False
254,42,1,9.85265824315088,0,1,7,107,96,26,2,False,False,True,False,True,False,False
255,44,1,2.763290352533492,1,1,17,174,82,2,1,False,True,False,False,True,False,False
256,43,1,8.012559138925674,0,3,19,33,92,15,2,False,False,False,False,True,False,False
257,20,1,9.382503830481472,0,3,5,68,15,43,2,False,False,False,False,False,True,False
258,49,0,9.289914071234358,1,1,9,42,68,14,2,False,False,True,False,False,False,True
259,38,1,13.721984509391987,0,1,15,165,71,8,3,False,False,True,False,False,False,True
260,43,0,10.484388577299274,1,2,12,10,56,38,1,False,True,False,True,False,False,False
261,45,0,17.769281534284076,1,2,18,66,47,0,2,True,False,False,False,False,True,False
262,49,1,14.95271715871735,0,2,17,65,5,47,2,True,False,False,True,False,False,False
263,47,0,12.58329193982178,0,1,9,140,7,36,1,True,False,False,True,False,False,False
264,35,0,18.289154324577385,0,3,11,56,63,9,2,False,False,True,False,False,False,True
265,46,1,22.356748853299987,0,2,4,28,28,35,1,False,False,False,False,True,False,False
266,37,1,5.387593847876657,1,1,6,104,76,18,2,False,True,False,False,False,False,False
267,47,0,18.980540801877705,0,2,17,14,93,36,2,False,False,True,False,False,True,False
268,17,0,10.33863814913738,0,2,0,60,25,32,1,False,False,True,False,True,False,False
269,32,0,13.60619707608962,0,2,17,44,71,37,2,False,False,True,True,False,False,False
270,39,1,19.716625789361512,0,2,17,57,47,33,2,False,False,True,False,False,False,False
271,45,0,13.337523698339428,1,1,0,121,20,26,1,False,False,True,False,True,False,False
272,17,1,4.374306505755923,0,2,2,93,77,7,1,False,False,True,False,False,False,True
273,38,0,23.46098142584398,0,2,0,146,48,27,1,False,False,True,False,False,True,False
274,46,0,20.182441817205255,1,1,8,92,95,49,2,True,False,False,False,False,False,True
275,36,0,2.5223100375372853,0,1,2,146,3,34,1,False,False,False,True,False,False,False
276,37,0,4.106261082588432,1,1,2,14,69,38,1,False,True,False,True,False,False,False
277,16,1,8.453867280194387,0,2,10,127,77,37,3,False,False,True,False,True,False,False
278,41,1,11.35633640163417,0,1,10,87,77,38,2,True,False,False,True,False,False,False
279,16,0,3.895109261990803,0,1,0,24,50,36,1,True,False,False,False,False,False,False
280,40,0,10.770777307401689,1,3,1,145,60,25,3,True,False,False,False,False,False,False
281,31,1,10.721183063895026,0,1,5,158,66,29,2,False,False,False,True,False,False,False
282,47,0,6.159609307346505,0,3,7,162,91,11,2,False,False,True,False,True,False,False
283,23,1,3.5415643286803995,1,1,14,12,75,43,2,False,False,True,False,False,False,False
284,43,0,3.840848787036875,0,1,2,179,1,38,2,False,False,True,False,False,True,False
285,40,0,19.944758525438868,1,1,10,101,11,39,3,False,False,True,False,True,False,False
286,49,0,19.087594402169337,0,1,8,87,13,28,2,True,False,False,False,True,False,False
287,39,0,0.4728419935895243,0,1,7,146,39,19,2,False,False,True,False,False,False,False
288,38,0,5.2101755586295795,1,3,6,59,30,7,2,False,False,True,True,False,False,False
289,27,1,0.6736694323328276,0,1,16,124,7,45,3,False,False,True,False,False,False,True
290,21,0,3.292908001595195,0,2,1,45,89,43,1,False,False,True,False,False,True,False
291,34,0,1.8608236177227324,0,3,4,20,19,19,1,False,False,True,False,False,False,True
292,15,0,18.296240621030098,0,3,12,56,80,46,2,True,False,False,False,True,False,False
293,22,1,8.546766153418645,0,3,16,71,22,1,2,False,False,True,False,False,False,False
294,30,1,16.818168995063274,0,1,2,44,75,24,1,False,True,False,True,False,False,False
295,28,1,12.919492680572652,0,1,17,82,68,31,3,False,False,True,False,True,False,False
296,26,0,5.898375472496607,0,1,11,55,44,1,2,False,False,True,False,False,True,False
297,37,1,11.93293467646334,1,1,12,79,40,5,2,False,False,True,False,True,False,False
298,29,1,5.56651790820465,0,1,11,107,93,46,2,True,False,False,False,False,True,False
299,42,0,8.241367744070885,0,3,18,107,76,8,3,True,False,False,True,False,False,False
300,48,0,21.142037265625568,0,1,12,178,39,39,3,False,True,False,False,False,True,False
301,16,1,19.572250286597647,0,2,13,45,83,27,2,False,False,True,False,False,True,False
302,46,0,10.510952353784653,0,2,9,108,83,48,2,False,False,True,False,False,False,False
303,37,0,4.023194951051734,1,2,15,70,24,36,2,False,False,False,True,False,False,False
304,36,0,3.8230818124306527,0,1,19,43,11,25,2,False,False,False,False,True,False,False
305,39,0,15.614142450737948,0,2,0,158,7,48,1,False,False,True,False,True,False,False
306,36,0,11.872008038745804,1,3,2,86,97,11,1,False,False,False,True,False,False,False
307,36,1,12.822161146387412,0,2,7,156,81,34,2,True,False,False,False,False,False,True
308,20,1,1.8171188291189964,0,2,6,168,52,30,2,False,False,True,True,False,False,False
309,29,0,9.104945684292648,1,1,12,28,7,1,1,False,False,True,True,False,False,False
310,47,0,8.89797030896645,1,1,5,46,81,38,2,True,False,False,False,False,True,False
311,22,1,6.459650706649791,0,1,0,133,68,32,1,False,False,False,False,False,True,False
312,19,1,18.131752861566916,0,1,5,64,25,7,1,False,False,True,False,False,True,False
313,18,0,3.213938504470609,1,1,6,83,14,47,2,False,False,True,False,True,False,False
314,20,1,18.921123790663284,0,1,2,64,54,25,1,False,False,True,False,False,False,False
315,46,1,2.0794938650471684,0,1,16,77,69,32,2,False,False,False,False,False,False,True
316,44,0,3.738603376300234,0,2,8,125,12,46,2,False,False,True,False,False,True,False
317,49,0,12.627876247456744,0,3,10,69,53,6,2,True,False,False,False,False,False,True
318,30,0,13.865057211219456,0,2,6,79,38,17,2,False,False,False,False,False,False,True
319,27,1,23.221451389501777,1,2,0,39,94,36,1,False,False,False,False,False,False,False
320,44,0,14.545053346162703,0,3,6,160,77,48,2,True,False,False,False,False,False,False
321,33,0,13.533127389468111,0,1,12,21,75,6,1,True,False,False,False,True,False,False
322,31,0,4.511941869479098,0,2,1,166,28,37,1,True,False,False,True,False,False,False
323,33,1,2.05998476913324,0,2,9,56,38,7,2,True,False,False,False,False,False,False
324,42,0,18.964686310616955,1,2,11,70,92,2,2,False,False,True,False,False,True,False
325,40,1,18.566875058307993,1,3,14,94,47,47,3,True,False,False,True,False,False,False
